year,round,event,driver,team,quali_position,avg_race_lap_time_s,lap_delta_vs_event_mean_s,finish_position,points_awarded,prev_points_total,rolling_points_last3,driver_points_per_race,team_prev_points_total,team_points_per_race,scored_points
2020,8,Italian Grand Prix,GAS,AlphaTauri,10.0,85.24965116279068,-0.3659619563525496,1.0,25.0,18.0,6.0,2.5714285714285716,20.0,1.4285714285714286,1
2020,8,Italian Grand Prix,SAI,McLaren,3.0,85.04522222222222,-0.5703908969210119,2.0,18.0,23.0,8.0,3.2857142857142856,68.0,4.857142857142857,1
2020,8,Italian Grand Prix,STR,Racing Point,8.0,85.19745454545455,-0.4181585736886859,3.0,15.0,42.0,22.0,6.0,81.0,5.785714285714286,1
2020,8,Italian Grand Prix,NOR,McLaren,6.0,85.18954545454545,-0.426067664597781,4.0,12.0,45.0,9.0,6.428571428571429,86.0,5.733333333333333,1
2020,8,Italian Grand Prix,BOT,Mercedes,2.0,85.25640909090909,-0.35920402823414577,5.0,10.0,107.0,49.0,15.285714285714286,264.0,18.857142857142858,1
2020,8,Italian Grand Prix,RIC,Renault,7.0,85.25518181818182,-0.36043130096140885,6.0,8.0,33.0,13.0,4.714285714285714,59.0,4.214285714285714,1
2020,8,Italian Grand Prix,HAM,Mercedes,1.0,84.43431818181817,-1.1812949373250632,7.0,7.0,157.0,69.0,22.428571428571427,274.0,18.266666666666666,1
2020,8,Italian Grand Prix,OCO,Renault,12.0,85.57893181818181,-0.03668130096141908,8.0,4.0,26.0,14.0,3.7142857142857144,67.0,4.466666666666667,1
2020,8,Italian Grand Prix,KVY,AlphaTauri,11.0,85.7020909090909,0.08647778994766497,9.0,2.0,2.0,1.0,0.2857142857142857,45.0,3.0,1
2020,8,Italian Grand Prix,PER,Racing Point,4.0,85.48358139534885,-0.132031723794384,10.0,1.0,33.0,17.0,6.6,96.0,6.4,1
2020,8,Italian Grand Prix,LAT,Williams,20.0,86.07249999999999,0.4568868808567572,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,8,Italian Grand Prix,GRO,Haas F1 Team,16.0,86.06738095238094,0.4517678332377102,12.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0
2020,8,Italian Grand Prix,RAI,Alfa Romeo Racing,14.0,86.12592857142856,0.5103154522853259,13.0,0.0,0.0,0.0,0.0,2.0,0.14285714285714285,0
2020,8,Italian Grand Prix,RUS,Williams,19.0,86.1373953488372,0.5217822296939687,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,8,Italian Grand Prix,ALB,Red Bull Racing,9.0,86.07124999999999,0.45563688085675835,15.0,0.0,48.0,22.0,6.857142857142857,158.0,11.285714285714286,0
2020,8,Italian Grand Prix,GIO,Alfa Romeo Racing,18.0,86.04059523809524,0.424982118952002,16.0,0.0,2.0,0.0,0.2857142857142857,2.0,0.13333333333333333,0
2020,8,Italian Grand Prix,VER,Red Bull Racing,5.0,86.25415,0.638536880856762,17.0,0.0,110.0,58.0,15.714285714285714,158.0,10.533333333333333,0
2020,8,Italian Grand Prix,LEC,Ferrari,13.0,86.6459375,1.0303243808567686,18.0,0.0,45.0,12.0,6.428571428571429,61.0,4.357142857142857,0
2020,8,Italian Grand Prix,MAG,Haas F1 Team,15.0,86.20633333333333,0.5907202141900996,19.0,0.0,1.0,0.0,0.14285714285714285,1.0,0.06666666666666667,0
2020,8,Italian Grand Prix,VET,Ferrari,17.0,87.75150000000001,2.1358868808567735,20.0,0.0,16.0,6.0,2.2857142857142856,61.0,4.066666666666666,0
2020,9,Tuscan Grand Prix,HAM,Mercedes,1.0,82.1776888888889,-0.5135953750704942,1.0,26.0,164.0,57.0,20.5,281.0,17.5625,1
2020,9,Tuscan Grand Prix,BOT,Mercedes,2.0,82.12325,-0.5680342639593903,2.0,18.0,117.0,44.0,14.625,307.0,18.058823529411764,1
2020,9,Tuscan Grand Prix,ALB,Red Bull Racing,4.0,82.51153846153845,-0.17974580242093907,3.0,15.0,48.0,12.0,6.0,158.0,9.875,1
2020,9,Tuscan Grand Prix,RIC,Renault,8.0,82.678525,-0.01275926395939564,4.0,12.0,41.0,21.0,5.125,71.0,4.4375,1
2020,9,Tuscan Grand Prix,PER,Racing Point,6.0,82.57290625,-0.11837801395938641,5.0,10.0,34.0,12.0,5.666666666666667,97.0,6.0625,1
2020,9,Tuscan Grand Prix,NOR,McLaren,11.0,82.61353333333332,-0.07775093062606686,6.0,8.0,57.0,19.0,7.125,98.0,6.125,1
2020,9,Tuscan Grand Prix,KVY,AlphaTauri,12.0,82.75978571428571,0.06850145032632327,7.0,6.0,4.0,2.0,0.5,47.0,2.9375,1
